Trans_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Total_Revenue,Unit_Cost,Category_Name,Avg_Region_Shipping_Cost,Shipping_Cost,Marketing_Cost,cat_monthly_sales,Net_Profit
1,2024-07-02 17:15:00,3.0,125,200,2,9000.0,3086.0,Audio,488.0,488.0,583.0851063829788,94,1756.9148936170213
2,2023-07-01 13:52:00,11.0,136,883,1,2500.0,1606.0,Printers,488.0,488.0,1338.4943181818182,176,-932.4943181818182
3,2025-01-05 18:56:00,7.0,106,669,1,320000.0,198987.0,Computers,992.3333333333334,992.3333333333334,1822.5,82,118198.16666666667
4,2024-08-01 13:27:00,2.0,125,848,1,4500.0,3086.0,Audio,992.3333333333334,992.3333333333334,480.375,120,-58.70833333333337
5,2023-04-30 13:45:00,10.0,113,963,1,58000.0,37157.0,Smartphones,650.05,650.05,1542.621951219512,246,18650.328048780488
6,2024-06-25 19:46:00,11.0,136,537,1,2500.0,1606.0,Printers,488.0,488.0,1146.6768292682927,164,-740.6768292682927
7,2024-02-15 18:40:00,2.0,118,615,3,10500.0,2473.0,Smartphones,650.05,650.05,1371.3962264150944,265,1059.5537735849055
8,2023-07-30 12:00:00,1.0,137,596,2,4400.0,1422.0,Printers,650.05,650.05,1338.4943181818182,176,-432.5443181818182
9,2023-04-06 13:40:00,6.0,125,861,1,4500.0,3086.0,Audio,650.05,650.05,389.0551181102362,127,374.89488188976384
10,2025-09-12 10:59:00,2.0,137,703,1,2200.0,1422.0,Printers,541.75,541.75,1052.0689655172414,203,-815.8189655172414
11,2025-03-27 12:18:00,3.0,112,554,1,38000.0,25796.0,Smartphones,541.75,541.75,687.234375,320,10975.015625
12,2024-11-10 17:46:00,9.0,115,403,1,230000.0,161913.0,Smartphones,541.75,541.75,1701.774193548387,279,65843.4758064516
13,2025-09-11 14:24:00,1.0,127,117,1,9500.0,6907.0,Audio,541.75,541.75,437.4,150,1613.85
14,2025-02-05 16:10:00,4.0,121,885,3,2400.0,526.0,Smartphones,488.0,488.0,1538.8973384030419,263,-1204.8973384030419
15,2024-02-12 16:57:00,7.0,109,1035,1,42000.0,31127.0,Computers,650.05,650.05,2093.478260869565,69,8129.471739130436
16,2024-07-15 13:12:00,2.0,136,161,1,2500.0,1606.0,Printers,488.0,488.0,1054.7368421052631,171,-648.7368421052631
17,2024-10-19 12:02:00,5.0,137,494,2,4400.0,1422.0,Printers,488.0,488.0,998.8439306358382,173,69.1560693641618
